BorrowerOccupation,BorrowerGender,NetMonthlySalary,BorrowerPostalCode,BorrowerDistrict,BorrowerPlanningArea,BorrowerID
PLANT AND MACHINE,F,1563,140184.0,3.0,QUEENSTOWN,6719
SERVICE,F,1282,288708.0,11.0,BUKIT TIMAH,7611
SERVICE,M,1017,821288.0,19.0,PUNGGOL,4651
SERVICE,F,1178,164025.0,3.0,BUKIT MERAH,4340
OTHER,F,1247,398623.0,14.0,GEYLANG,3895
CLERICAL,M,1843,417391.0,14.0,BEDOK,7646
SERVICE,F,1280,150103.0,3.0,BUKIT MERAH,6774
CLERICAL,F,1536,133028.0,5.0,QUEENSTOWN,7586
CLEANER,M,1087,806095.0,28.0,SERANGOON,7620
SERVICE,F,992,544204.0,19.0,SENGKANG,714
CLERICAL,M,2488,556317.0,19.0,SERANGOON,5229
SECURITY,M,1910,465895.0,16.0,BEDOK,5207
CLEANER,F,975,448908.0,15.0,BEDOK,5471
CRAFTS,F,1078,268685.0,10.0,BUKIT TIMAH,5643
TECHNICIAN,F,2326,679517.0,23.0,BUKIT PANJANG,7618
CLEANER,F,1759,289901.0,11.0,BUKIT TIMAH,4778
SERVICE,M,1041,449286.0,15.0,BEDOK,4464
SERVICE,M,1308,238275.0,9.0,SINGAPORE RIVER,6987
CLERICAL,F,1806,128045.0,5.0,CLEMENTI,5323
CLERICAL,F,1849,239432.0,9.0,SINGAPORE RIVER,4939
SECURITY,M,1785,228223.0,9.0,NEWTON,6259
OTHER,F,1191,489217.0,16.0,TAMPINES,7691
CLERICAL,M,866,587881.0,21.0,BUKIT TIMAH,7385
PLANT AND MACHINE,M,1478,329779.0,12.0,NOVENA,1194
CLEANER,M,1517,307750.0,11.0,NOVENA,6735
PLANT AND MACHINE,M,1465,239497.0,9.0,SINGAPORE RIVER,3687
CLEANER,F,1341,268350.0,10.0,BUKIT TIMAH,4321
OTHER,F,1357,151075.0,3.0,BUKIT MERAH,5366
CLERICAL,M,2413,437894.0,15.0,MARINE PARADE,7771
CRAFTS,F,1193,238257.0,9.0,SINGAPORE RIVER,5230
CLEANER,M,1271,681672.0,23.0,CHOA CHU KANG,4727
CLEANER,M,1431,98650.0,4.0,BUKIT MERAH,5821
SERVICE,M,1116,437294.0,15.0,MARINE PARADE,4682
SERVICE,M,1170,258357.0,10.0,TANGLIN,6684
SERVICE,F,1521,258709.0,10.0,TANGLIN,7261
CLEANER,F,1129,669606.0,23.0,BUKIT BATOK,4548
CLEANER,F,1354,437431.0,15.0,KALLANG,6205
SECURITY,M,1647,239896.0,9.0,RIVER VALLEY,5127
SERVICE,F,1253,590002.0,21.0,BUKIT TIMAH,4452
SECURITY,M,2259,436881.0,15.0,KALLANG,7241
SERVICE,M,1251,100085.0,4.0,BUKIT MERAH,4130
