Borrower ID,LoanType,Total Loan Amt,Mth1 paysts (May),Mth2 paysts (Apr),Mth3 paysts (Mar),Mth4 paysts (Feb),Mth5 paysts (Jan),Mth6 paysts (Dec 17),Mth7 paysts (Nov 17),Mth8 paysts (Oct 17),Mth9 paysts (Sep 17),Mth10 paysts (Aug 17),Mth11 paysts (Jul17),Mth12 paysts (Jun 17),obn,Loan Principal Amt,Loan Type,Is MECB member,Is MLCB member
562,UNSECURED,784.36,-,CL,-,OK,OK,OK,OK,OK,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,False,False
579,UNSECURED,676.0,-,-,-,CL,OK,-,-,-,-,-,-,-,MAIN BORROWER,650,Personal - Pay Day,True,False
2819,UNSECURED,600.0,-,-,-,-,-,-,-,-,-,CL,OK,-,MAIN BORROWER,500,Personal - Pay Day,True,False
2430,UNSECURED,799.03,CL,60,60,-,-,OK,OK,-,-,-,-,-,MAIN BORROWER,600,Personal - Pay Day,False,False
1579,UNSECURED,799.03,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,False,False
967,UNSECURED,250.48,CL,30,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,False
783,UNSECURED,600.0,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
446,UNSECURED,305.5,-,-,-,-,CL,OK,OK,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,True,True
1178,UNSECURED,799.03,CL,OK,OK,OK,OK,OK,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,False,False
3799,UNSECURED,477.56,-,-,-,-,CL,OK,OK,OK,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,True,False
3673,UNSECURED,425.8,-,-,CL,OK,OK,-,-,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,True,True
2671,UNSECURED,799.03,CL,OK,OK,OK,-,-,-,-,-,-,-,-,MAIN BORROWER,600,Personal - Pay Day,False,False
1874,UNSECURED,572.0,-,-,-,-,-,-,CL,OK,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,False
1389,UNSECURED,500.0,-,CL,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,
3301,UNSECURED,624.0,-,CL,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
2168,UNSECURED,520.0,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,700,Personal - Pay Day,True,False
4012,UNSECURED,655.8,-,-,-,-,-,-,CL,OK,-,-,-,-,MAIN BORROWER,350,Personal - Pay Day,False,False
